comuna,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto
SANTO DOMINGO,ratio docente parvularia,16.38,12.75,21.83,,16.38,21.89,8.13,16.38,,9.25,18,18.67,
SIERRA GORDA,ratio docente parvularia,14,14,,,14,14,,14,,16,12,,
TALAGANTE,ratio docente parvularia,18.47,21,18.57,14.89,18.47,17.91,32.5,18.47,10,19.15,17.63,26.43,14.89
TALCA,ratio docente parvularia,19.19,15.63,24.91,17.51,19.19,19.83,13.31,19.19,16.46,18.78,20.46,22.43,17.51
TALCAHUANO,ratio docente parvularia,14.74,12.61,18.2,16.09,14.74,14.8,12.33,14.74,17.7,13.87,11.37,18,16.09
TALTAL,ratio docente parvularia,18.32,18.32,,,18.32,18.32,,18.32,,17.78,19.4,,
TEMUCO,ratio docente parvularia,18.14,14.54,20.08,14.12,18.14,18.1,18.44,18.58,15.33,18.92,18.71,22.89,17.35
TENO,ratio docente parvularia,12.03,11.75,16,,12.03,26,11.04,12.03,8.5,13.08,6.5,,
TEODORO SCHMIDT,ratio docente parvularia,12.6,15.73,11.04,,12.6,15.82,9.39,13.57,10.51,18.22,21,,
TIERRA AMARILLA,ratio docente parvularia,17.36,19.23,8,,17.36,22.54,7,7,,6,8,,
TILTIL,ratio docente parvularia,16.15,14.92,18,,16.15,18.1,14.2,16.15,,14.08,16.5,27.5,
TIMAUKEL,ratio docente parvularia,4,4,,,4,,4,,,,,,
TIRÚA,ratio docente parvularia,8.49,8.63,8.3,,8.49,7.54,8.68,8.49,8.86,6.65,,,
TOCOPILLA,ratio docente parvularia,28.5,26.08,43,,28.5,28.5,,28.5,11.8,32.9,23,43,
TOLTÉN,ratio docente parvularia,16.41,13.17,19,,16.41,17,15.67,16.41,17,17.28,10,,
TOMÉ,ratio docente parvularia,10.53,8.92,21.25,,10.53,13.42,6.04,11.11,4.42,8.85,12.38,22.92,
TORRES DEL PAINE,ratio docente parvularia,,,,,,,,,,,,,
TORTEL,ratio docente parvularia,6.5,6.5,,,6.5,,6.5,6.5,,,6.5,,
TRAIGUÉN,ratio docente parvularia,15.4,11.38,19.41,,15.4,16.47,10,15.4,15.63,,14.22,,
TREHUACO,ratio docente parvularia,4.25,4.25,,,4.25,,4.25,4.25,,4.25,,,
TUCAPEL,ratio docente parvularia,15.82,9.77,40,,15.82,23.19,4.75,15.82,4.5,11.53,40,,
VALDIVIA,ratio docente parvularia,16.6,11.51,21.02,14.94,16.6,17,10.78,17.02,6.67,14.73,16.01,26.51,17.23
VALLENAR,ratio docente parvularia,17.8,17.2,23.06,11,17.8,17.95,16.5,17.8,16.5,13.28,21.21,23.06,11
VALPARAÍSO,ratio docente parvularia,16.27,12.95,19.52,12.1,16.27,16.27,,16.37,12.3,12.93,20.98,20.47,12.78
VICHUQUEN,ratio docente parvularia,11.9,11.9,,,11.9,10,12.38,11.9,,12.67,10.75,,
VICTORIA,ratio docente parvularia,20.66,19.79,22.04,,20.66,21.56,18.63,20.66,20.21,12.28,27,28.23,
VICUÑA,ratio docente parvularia,13.79,13.42,15.14,,13.79,14.97,6.75,14.47,13.5,15.88,13.08,,
VILCÚN,ratio docente parvularia,16.87,13.68,18.35,,16.87,17.16,16.67,16.87,17.64,14.47,19.25,23,
VILLA ALEGRE,ratio docente parvularia,10.95,10.95,,,10.95,10.67,10.98,10.95,8.62,12.11,,,
VILLA ALEMANA,ratio docente parvularia,18.72,18.42,18.06,22.95,18.72,18.68,20,18.72,,14.46,16.69,26.03,22.95
VILLARRICA,ratio docente parvularia,18.53,17.87,19.26,13.4,18.53,18.77,18.13,18.97,18.33,20.74,18.57,16.92,13.4
VIÑA DEL MAR,ratio docente parvularia,15.93,14.07,19.78,12.03,15.93,15.93,,15.93,11.11,16.99,15.35,21.68,12.38
VITACURA,ratio docente parvularia,10.84,10.26,15,10.59,10.84,10.84,,10.84,,,,11.84,10.59
YERBAS BUENAS,ratio docente parvularia,10.46,8.52,26,,10.46,8.17,10.75,10.46,6.5,10.96,,,
YUMBEL,ratio docente parvularia,11.07,8.7,19.35,,11.07,14.77,6.44,11.07,10,7.75,15.46,,
YUNGAY,ratio docente parvularia,18.87,17.67,20.47,,18.87,21.52,15.33,18.87,16,18.22,25.2,11,
ZAPALLAR,ratio docente parvularia,15.69,12.42,25.5,,15.69,18,13.38,15.69,,14.25,12.5,18,
TODAS,ratio docente parvularia,17.63,14.88,21.51,14.7,17.63,18.84,13.81,17.74,13.92,16.5,20.24,23,15.57
ALGARROBO,ratio docente basica,15.2,12.49,17.24,,15.2,19.24,9.81,15.2,,10.44,15.66,17.69,
ALHUÉ,ratio docente basica,10.57,10.57,,,10.57,18.89,8.48,10.57,,9.92,11,,
ALTO BIOBÍO,ratio docente basica,11.52,10.7,12.62,,11.52,,11.52,11.52,11.18,13.57,,,
ALTO DEL CARMEN,ratio docente basica,8.13,8.13,,,8.13,,8.13,9.83,11,8.23,10.25,,
ALTO HOSPICIO,ratio docente basica,27.22,19.05,27.8,,27.22,27.32,26.3,26.2,24.21,25.59,30.38,,
ANCUD,ratio docente basica,9.66,6.27,12.54,,9.66,12.26,6.92,9.82,7.84,9.09,12.08,11.6,18.92
ANDACOLLO,ratio docente basica,10.2,7.05,19.64,,10.2,14.8,5.6,11.37,4,6.53,15.63,,
ANGOL,ratio docente basica,14.46,11.09,19.57,20.64,14.46,17.35,4.04,14.62,5.83,15.45,19.5,23.16,20.64
ANTOFAGASTA,ratio docente basica,22.01,21.51,26.46,14.39,22.01,22.01,,22.19,18.67,23.81,24.56,23.27,15.34
ANTUCO,ratio docente basica,5.57,5.72,5,,5.57,9.75,2.79,6.51,3.2,,7.61,,
ARAUCO,ratio docente basica,9.17,7.77,18.38,18,9.17,15.39,6.5,10.03,7.41,10.29,13.46,14.72,18
ARICA,ratio docente basica,18,14.68,21.7,12.46,18,18.65,13.83,18.15,15.21,17.37,19.74,20.68,12.46
AYSÉN,ratio docente basica,10.95,8.95,15.34,,10.95,11.88,4.43,11.55,14.43,8.39,16.56,16.81,
BUIN,ratio docente basica,21.23,17.11,27.99,19.21,21.23,22.12,17.37,21.23,52.33,19.06,20.23,17.44,22.44
BULNES,ratio docente basica,10.41,7.04,20.5,,10.41,15.84,6.19,10.41,5.3,9.17,22.24,,
CABILDO,ratio docente basica,8.83,7.39,18.2,,8.83,14.07,5.34,9.34,4.96,8.53,15.8,8.62,
CABO DE HORNOS,ratio docente basica,16.8,16.8,,,16.8,16.8,,16.8,,,,16.8,
CABRERO,ratio docente basica,9.43,7.06,17.03,,9.43,15.73,5.56,10.56,3.67,12.14,11.96,3.5,
CALAMA,ratio docente basica,22.72,19.28,30.42,15.76,22.72,24.74,6.05,22.96,,26.03,25.3,20.44,15.76
CALBUCO,ratio docente basica,9.05,7.32,15.33,,9.05,16.08,7.41,9.32,6.55,9.85,16.03,,
CALDERA,ratio docente basica,18.41,15.6,24.02,,18.41,20.29,9,23.78,,23.31,24.15,23.88,
CALERA,ratio docente basica,16.54,9.54,19.32,27.13,16.54,17.14,9.35,16.54,9.84,12.9,21.8,29.32,27.13
CALERA DE TANGO,ratio docente basica,17.27,16.76,24.34,14.11,17.27,16.86,17.38,17.27,,16.76,24.34,,14.11
CALLE LARGA,ratio docente basica,17.29,7.98,37.49,12.58,17.29,19.86,7.02,18.82,,22.08,11,35.47,12.58
CAMARONES,ratio docente basica,2.61,2.61,,,2.61,,2.61,4.58,5.33,3,2.33,7.67,
CAMIÑA,ratio docente basica,5.37,5.37,,,5.37,,5.37,5.37,9.17,,6,2,3.5
CANELA,ratio docente basica,10.44,11.64,2,,10.44,15.18,8.86,12.53,12.04,14.11,12.46,,
CAÑETE,ratio docente basica,10.58,8.82,14.87,,10.58,14.21,8.77,10.9,9.02,10.11,,25.23,
CARAHUE,ratio docente basica,11.23,9.69,11.75,,11.23,13.59,10.45,11.53,10.59,12.66,15.3,,
CARTAGENA,ratio docente basica,14.99,9.27,26.42,,14.99,19.89,5.19,14.99,,10.14,26.42,4.92,
CASABLANCA,ratio docente basica,13.42,10.24,15.87,12.18,13.42,13.42,,13.42,4.47,11.73,16.75,10.45,12.18
CASTRO,ratio docente basica,17.77,19.02,14.35,,17.77,27.51,5.04,19.54,13.07,13.65,34.3,12.59,14.97
CATEMU,ratio docente basica,17.85,9.08,48.56,,17.85,28.46,9.36,17.85,11.01,34.78,8.57,,
CAUQUENES,ratio docente basica,13.04,12.26,20.04,,13.04,24.14,4.55,14.6,5.54,22.09,15.56,17.2,
CERRILLOS,ratio docente basica,18.79,14.75,22.1,,18.79,18.79,,18.79,15.63,15.95,19.85,26.34,
CERRO NAVIA,ratio docente basica,16.66,12.98,21.33,,16.66,16.66,,16.66,12.42,18.08,15.2,,
CHAITÉN,ratio docente basica,7.87,7.87,,,7.87,,7.87,7.96,5.75,6.28,12.24,,
CHAÑARAL,ratio docente basica,16.61,16.69,16.18,,16.61,16.61,,17.31,,18.43,16.18,,
CHANCO,ratio docente basica,11.44,11.44,,,11.44,12.71,11.15,11.28,11.62,9.8,13.67,,
CHÉPICA,ratio docente basica,6.13,6.13,,,6.13,15.39,5.47,6.75,4.85,8.73,4.63,,
CHIGUAYANTE,ratio docente basica,13.81,7.31,15.67,18.44,13.81,13.81,,14.12,3.5,8.31,15.1,22.91,19.33
CHILE CHICO,ratio docente basica,11.78,11.78,,,11.78,,11.78,11.78,,10.2,14.95,,
CHILLÁN,ratio docente basica,13.28,7.48,18.01,20.53,13.28,14.26,8.64,13.28,7.72,10.89,13.25,19.39,21.38
CHILLÁN VIEJO,ratio docente basica,9.56,6.01,13.69,,9.56,12.46,4.91,9.56,6.05,13.49,7,,
CHIMBARONGO,ratio docente basica,12.06,9.29,19.16,,12.06,14.6,11.07,12.06,8.76,13.78,13.04,,
CHOLCHOL,ratio docente basica,10.08,7.05,12.5,,10.08,18.19,8.67,10.67,9.44,13.53,13.99,,
CHONCHI,ratio docente basica,6.07,5.97,8,,6.07,14.63,4.56,6.4,5.31,7.99,5.15,4,
CISNES,ratio docente basica,7.94,7.94,,,7.94,10.88,7.21,8.68,,9.15,7.25,,
COBQUECURA,ratio docente basica,4.45,4.45,,,4.45,12.06,2.76,5.11,2,9.11,3.36,3.96,
COCHAMÓ,ratio docente basica,14.25,14.25,,,14.25,,14.25,14.25,9.6,7,24.33,6,
COCHRANE,ratio docente basica,19.38,19.38,,,19.38,,19.38,19.38,,28.25,10.5,,
CODEGUA,ratio docente basica,10.82,9.73,17.33,,10.82,17.25,8.24,10.82,17.33,10.43,8.33,,
COELEMU,ratio docente basica,6.98,6.29,15.26,,6.98,12.86,4.37,7.93,4.3,10.68,10.37,8.63,
COIHUECO,ratio docente basica,8.76,7.34,13.89,,8.76,14.55,7.15,9.28,7.1,13.7,17.69,,
COINCO,ratio docente basica,10.86,9.4,16.7,,10.86,13,10.33,10.86,,10.33,13,,
COLBÚN,ratio docente basica,9.04,8.48,16.29,,9.04,14.69,8.1,9.68,9.39,9.81,,,
COLCHANE,ratio docente basica,4.9,4.9,,,4.9,,4.9,4.9,8.62,,6,1,4
COLINA,ratio docente basica,21.35,24.26,26.02,13.54,21.35,20.57,32.97,21.46,20.57,23.78,31.42,32.55,13.54
COLLIPULLI,ratio docente basica,10.2,9.41,12.1,,10.2,13.94,7.58,10.2,9.29,9.54,23.49,,
COLTAUCO,ratio docente basica,13,9.51,23.47,,13,24.34,9.22,13,7.65,13.24,33.68,,
COMBARBALÁ,ratio docente basica,5.64,5.8,5.31,,5.64,12.47,4.58,6.26,6.08,5.71,8.38,,
CONCEPCIÓN,ratio docente basica,14.67,9.36,17.62,17.67,14.67,15.01,7.38,14.84,7.45,9.13,15.04,20.02,17.97
CONCHALÍ,ratio docente basica,20.28,15.89,24.74,19.13,20.28,20.28,,20.28,,16.86,23,23.51,19.13
CONCÓN,ratio docente basica,17.21,14.2,21.76,13.56,17.21,17.21,,17.21,,12.39,21.01,17.35,13.56
CONSTITUCIÓN,ratio docente basica,13.31,9.12,22.96,14,13.31,15.64,11.19,13.62,8.99,14.62,17.27,24.1,14
CONTULMO,ratio docente basica,5.16,4.63,6.89,,5.16,7.71,5,5.75,4.79,8.56,,5.89,
COPIAPÓ,ratio docente basica,20.71,20.12,22.97,18.34,20.71,20.84,15.58,21.11,17,18.47,23.21,25.92,18.34
COQUIMBO,ratio docente basica,17.59,14.02,20.23,18.81,17.59,18.97,8.2,17.95,12.15,17.29,19.29,20.02,18.81
CORONEL,ratio docente basica,15.24,11.86,20.02,,15.24,16.22,6.14,15.24,9.4,12.86,20.06,22.8,16.07
CORRAL,ratio docente basica,5.36,5.99,1,,5.36,8.58,3.43,5.99,3.75,5.98,8.23,,
COYHAIQUE,ratio docente basica,14.41,9.22,18.9,,14.41,16.7,7.53,14.41,10.27,9.44,16.61,24.94,14.56
CUNCO,ratio docente basica,10.08,10.02,10.13,,10.08,11.28,8.89,10.36,9.51,9.73,14.88,,
CURACAUTÍN,ratio docente basica,9.18,9.04,9.51,,9.18,10.6,7.06,9.18,6.66,8.93,10.69,,
CURACAVÍ,ratio docente basica,16.99,14.97,18.89,13.52,16.99,18.12,14.04,18.61,13.62,16.77,21.02,20.28,12.62
CURACO DE VÉLEZ,ratio docente basica,4.37,4.37,,,4.37,11.62,3.56,5.08,4.01,7,6.81,,
CURANILAHUE,ratio docente basica,8.95,7.25,15.72,,8.95,11.79,3.26,11.33,7.9,10.02,15.83,17.58,
CURARREHUE,ratio docente basica,8.54,7.94,8.99,,8.54,9.42,8.3,8.54,7.1,10.47,,,
CUREPTO,ratio docente basica,4.89,4.89,,,4.89,13.29,4.33,5.77,5.34,4.25,13.29,5,
CURICÓ,ratio docente basica,16.42,11.19,24.57,15.16,16.42,19.25,9.78,16.61,17.91,14.51,16.51,22.33,15.16
DALCAHUE,ratio docente basica,8.53,5.01,14.57,,8.53,14.59,5.74,8.84,6.33,9.91,9.06,,
DIEGO DE ALMAGRO,ratio docente basica,16.4,12.93,19.86,,16.4,17.21,12.33,18.44,,14.18,28.88,15.36,
DOÑIHUE,ratio docente basica,13.77,13,16.48,,13.77,15.67,12.26,13.77,13.94,13.25,14.26,,
EL BOSQUE,ratio docente basica,20.04,15.37,22.54,14.45,20.04,20.04,,20.04,14.11,19.45,22.27,27.35,14.45
EL CARMEN,ratio docente basica,5.15,4.47,17.38,,5.15,14.02,3.49,6.39,5.06,2.33,12.84,17.38,
EL MONTE,ratio docente basica,17.59,12.78,22.4,,17.59,18.33,13.9,17.59,10.26,16.84,24.66,,
EL QUISCO,ratio docente basica,15.72,14.65,17.85,,15.72,15.89,14.85,15.72,,14.74,16.2,,
EL TABO,ratio docente basica,15.16,15.16,,,15.16,15.16,,15.16,,15.44,14.88,,
EMPEDRADO,ratio docente basica,7.76,7.76,,,7.76,11.74,5.77,7.76,8.55,7.37,,,
ERCILLA,ratio docente basica,11.31,9.93,14.98,,11.31,11.21,11.34,10.44,9.97,12.32,,,
ESTACIÓN CENTRAL,ratio docente basica,21.13,17.74,23.79,19.89,21.13,21.13,,21.61,,16.89,20.37,27.69,19.89
FLORIDA,ratio docente basica,7.03,7.35,3.5,,7.03,13.36,5.76,7.75,4.63,9.08,,,
FREIRE,ratio docente basica,8.97,6.86,10.38,,8.97,11.89,8.24,9.24,8.64,9.44,18.5,,
FREIRINA,ratio docente basica,15.53,15.53,,,15.53,16.24,15.06,15.53,13.67,13,18.99,,
FRESIA,ratio docente basica,8.54,5.04,17.65,,8.54,16.99,7.48,8.42,6.71,13.73,6,,
FRUTILLAR,ratio docente basica,12.86,10.85,16.07,13.93,12.86,15.2,11.05,12.86,10.88,13.94,13.23,5.67,13.93
FUTALEUFÚ,ratio docente basica,4.76,4.76,,,4.76,,4.76,4.76,3.33,1.6,6.39,4.5,
FUTRONO,ratio docente basica,11.24,7.92,15.8,,11.24,22.63,8.2,11.77,9.02,16.09,8,3,
GALVARINO,ratio docente basica,10.34,9.08,12.19,,10.34,20.94,8.38,10.27,10.03,13.35,,,
GENERAL LAGOS,ratio docente basica,2.51,2.51,,,2.51,,2.51,3.2,3,2.5,5.29,2,
GORBEA,ratio docente basica,9.98,9.19,13.53,,9.98,10.54,9,9.98,8.41,9.98,21,,
GRANEROS,ratio docente basica,16.21,11.79,19.99,,16.21,17.46,9.31,16.21,10.31,13.75,26.22,20.67,
GUAITECAS,ratio docente basica,7.89,7.89,,,7.89,,7.89,7.89,,,7.89,,
HIJUELAS,ratio docente basica,9.18,7.33,17.53,,9.18,13.16,6.91,9.18,9.2,8.83,9.99,,
HUALAIHUÉ,ratio docente basica,7.01,6.17,13.75,,7.01,23.5,6.04,8.21,5.25,9.73,17.75,,
HUALAÑÉ,ratio docente basica,6.83,6.53,9.5,,6.83,12.49,5.41,7.33,2.57,7.41,11.9,,
HUALPÉN,ratio docente basica,14.21,9.33,15.82,24.82,14.21,14.21,,14.67,5.05,11.62,14.83,16.12,24.82
HUALQUI,ratio docente basica,9.6,6.94,21.13,,9.6,16.77,5.29,9.6,3.89,9.7,23.62,9.5,
HUARA,ratio docente basica,5.22,5.22,,,5.22,,5.22,5.82,3.58,10.09,4.38,3.5,
HUASCO,ratio docente basica,14.75,12.74,24.78,,14.75,18.37,7.5,14.75,10.5,4.5,16.23,24.78,
HUECHURABA,ratio docente basica,18.06,14.89,22.21,17.62,18.06,18.06,,18.06,13.86,18.73,19.64,,17.62
ILLAPEL,ratio docente basica,11.52,15.48,8.09,,11.52,19.79,6.17,13.16,5.02,17.83,12.94,13.13,
INDEPENDENCIA,ratio docente basica,21.57,19.4,23.26,17.76,21.57,21.57,,22.07,,31.75,22.37,21.85,17.76
IQUIQUE,ratio docente basica,22.27,20.8,23.37,20.23,22.27,22.78,12.68,22.47,17.01,22.61,21.81,25.68,20.23
ISLA DE MAIPO,ratio docente basica,18.2,11.77,23.92,16,18.2,19.68,10.8,18.2,9.73,16.19,26.36,22.87,16
ISLA DE PASCUA,ratio docente basica,14.63,15.33,13.93,,14.63,14.63,,14.63,,,15.33,13.93,
JUAN FERNÁNDEZ,ratio docente basica,13,13,,,13,,13,13,,,13,,
LA CISTERNA,ratio docente basica,21.78,19.01,22.5,,21.78,21.78,,21.78,,15.37,21.62,24.38,15.5
LA CRUZ,ratio docente basica,13.9,10.97,18.78,,13.9,17.7,7.57,13.9,4.79,18,14.74,,
LA ESTRELLA,ratio docente basica,7.18,7.18,,,7.18,15.29,3.13,9.77,,15.29,4.25,,
LA FLORIDA,ratio docente basica,19.1,13.64,20.81,17,19.1,19.1,,19.51,14.77,19.58,18.65,21.67,18.51
LA GRANJA,ratio docente basica,17.88,12.45,21.96,,17.88,17.88,,18.29,9.68,18.34,23.86,,
LA HIGUERA,ratio docente basica,13.36,13.36,,,13.36,10.76,13.79,13.75,15.15,10.96,,,
LA LIGUA,ratio docente basica,9.96,7.28,19.23,10.71,9.96,15.6,6.31,10.47,5.47,10.05,13.67,14.88,10.71
LA PINTANA,ratio docente basica,18,15.39,18.83,,18,18,,18,17.14,17.99,24.13,,
LA REINA,ratio docente basica,16.26,20.85,19.98,12.44,16.26,16.26,,16.67,,18.41,23.54,20.91,12.44
LA SERENA,ratio docente basica,17.97,16.26,19.83,16.18,17.97,18.81,10.7,18.41,22.38,21.33,16.53,18.53,16.93
LA UNIÓN,ratio docente basica,11.87,9.16,15.84,12.47,11.87,18.79,8.4,13.3,9.95,16.15,13.13,22.5,12.47
LAGO RANCO,ratio docente basica,8.34,7.9,9.94,,8.34,16.73,6.94,9.87,8.24,11.57,12.89,,
LAGO VERDE,ratio docente basica,7.4,7.4,,,7.4,,7.4,7.6,,7.6,,,
LAGUNA BLANCA,ratio docente basica,2.5,2.5,,,2.5,,2.5,2.5,,2.5,,,
LAJA,ratio docente basica,9.93,8.63,12.54,,9.93,12.44,6.42,10.52,7.69,9.39,12.94,18.12,
LAMPA,ratio docente basica,26.17,18.54,30.35,22.27,26.17,28.08,14.75,26.17,26.9,26.95,24.62,28.68,22.27
LANCO,ratio docente basica,10.29,8.83,11.43,,10.29,12.25,8.33,10.29,6.85,10.71,13.64,,
LAS CABRAS,ratio docente basica,13.2,11.81,22.24,,13.2,18.34,10.63,13.2,14.13,11.52,14.47,,
LAS CONDES,ratio docente basica,13.4,10.87,21.01,12.62,13.4,13.4,,13.4,,,10.96,17.7,12.56
LAUTARO,ratio docente basica,10.34,9.22,12.8,,10.34,16.74,7.41,11.03,9.57,10.5,17.41,,
LEBU,ratio docente basica,11.83,11.22,19.88,,11.83,15.15,5.87,12.4,9.44,15.93,15.43,,
LICANTÉN,ratio docente basica,9.56,8.31,14.58,,9.56,14.64,6.18,9.56,5.1,8.33,14.64,,
LIMACHE,ratio docente basica,14.4,11.8,16.53,,14.4,15.22,7.06,14.4,9.96,11.55,17.74,17.21,
LINARES,ratio docente basica,16.95,16.42,17.45,18.59,16.95,19.75,9.64,17.25,9.64,23.24,19.23,21.47,18.59
LITUECHE,ratio docente basica,8.57,8.57,,,8.57,,8.57,9.35,2,9.04,13.34,,
LLAILLAY,ratio docente basica,12.71,9.98,16.12,,12.71,14.42,8.25,13.04,7,12.02,15.66,10.31,
LLANQUIHUE,ratio docente basica,11.44,9.68,17.61,,11.44,16.75,7.2,11.44,8.93,12.15,12.18,,
LO BARNECHEA,ratio docente basica,12.08,8.24,13.83,12.02,12.08,12.34,6.07,12.08,,12.34,12.09,,12.02
LO ESPEJO,ratio docente basica,16.14,11.49,21.18,,16.14,16.14,,16.14,15.3,14.09,24.22,,
LO PRADO,ratio docente basica,21.6,16.35,26.42,,21.6,21.6,,21.83,,16.96,25.6,29,
LOLOL,ratio docente basica,7.66,7.66,,,7.66,16.8,6.14,7.66,3.67,7.21,10.57,,
LONCOCHE,ratio docente basica,9.65,7.11,13.78,,9.65,14.33,6.78,11.05,8.63,13.83,11.1,,
LONGAVÍ,ratio docente basica,10.09,8.9,39.88,,10.09,26.36,8.73,10.49,8.62,13.1,,,
LONQUIMAY,ratio docente basica,9.24,8.5,11.71,,9.24,13.2,8.52,9.46,8.22,10.8,15.47,,
LOS ÁLAMOS,ratio docente basica,11.28,8.74,25.28,,11.28,17.11,10.22,11.64,8.89,13.17,16.82,,
LOS ANDES,ratio docente basica,18.54,14.96,21.1,19.58,18.54,19.01,6.31,18.81,12.4,12.12,20.73,24.57,21.53
LOS ÁNGELES,ratio docente basica,14.15,10.16,18.28,16.22,14.15,16.56,9.81,14.13,11.12,12.77,17.12,19.38,16.22
LOS LAGOS,ratio docente basica,9.33,8.65,10.35,,9.33,12.47,7.99,9.77,6.32,10.46,13.64,,
LOS MUERMOS,ratio docente basica,10.73,9.95,11.76,,10.73,15.55,9.59,10.96,9.55,11.83,15.45,,
LOS SAUCES,ratio docente basica,10.76,10.91,9.86,,10.76,11.78,10,10.76,12.25,10.17,,,
LOS VILOS,ratio docente basica,9.81,8,17.04,,9.81,19.08,6.44,10.59,5.27,11.14,18.55,,
LOTA,ratio docente basica,12.99,9.59,18.65,,12.99,12.99,,12.99,5.36,12.49,22.29,,
LUMACO,ratio docente basica,14.81,16.38,12.47,,14.81,12.94,15.28,14.81,15.25,10.92,,,
MACHALÍ,ratio docente basica,17.14,9.42,22.83,17.27,17.14,18.67,8.47,17.14,7.29,20.09,16.32,20.69,17.27
MACUL,ratio docente basica,18.7,16.02,21.37,14.07,18.7,18.7,,18.7,,17.13,19.34,20.93,14.07
MÁFIL,ratio docente basica,6.72,4.74,11.35,,6.72,11.84,4.53,7.78,3.83,11.73,,,
MAIPÚ,ratio docente basica,21.81,17.62,23.48,18.31,21.81,21.81,,22.21,15.89,17.55,23.96,22.97,21.23
MALLOA,ratio docente basica,9.32,9.32,,,9.32,11.31,8.33,9.32,8.62,10.02,,,
MARCHIHUE,ratio docente basica,6.62,6.62,,,6.62,10.76,5.58,7.13,5.6,7.68,7.49,,
MARÍA ELENA,ratio docente basica,12.5,12.5,,,12.5,17,8,12.5,,8,17,,
MARÍA PINTO,ratio docente basica,13.68,13.68,,,13.68,14.92,12.45,13.68,,13.81,13.05,,
MARIQUINA,ratio docente basica,9.3,6.46,11.57,,9.3,12.84,8.29,10.51,10.17,9.85,13.8,,
MAULE,ratio docente basica,10.38,7.16,18.11,,10.38,16.72,7.74,10.89,6.75,9.91,18.54,18.59,
MAULLIN,ratio docente basica,11.26,9.24,16.12,,11.26,13.47,10.06,12.6,8.91,13.88,16.87,,
MEJILLONES,ratio docente basica,22.27,22.27,,,22.27,26.01,7.33,24.34,,33,21.46,,
MELIPEUCO,ratio docente basica,11.23,8.25,13.62,,11.23,12.92,10.39,12.58,12.33,12.92,,,
MELIPILLA,ratio docente basica,16.44,13.36,20.71,12.72,16.44,17.54,13.7,17.19,14.2,16.02,17.76,28.74,14.87
MOLINA,ratio docente basica,12.26,10.08,19.17,,12.26,18.65,7.25,13.11,10.68,14.63,15.71,8.33,
MONTE PATRIA,ratio docente basica,11.87,11.56,15.04,,11.87,14.93,10.23,11.95,11.64,11.74,13.47,,
MOSTAZAL,ratio docente basica,15.2,13.62,17.97,,15.2,15.78,14.2,15.2,,13.5,19.75,,
MULCHÉN,ratio docente basica,8.91,8.19,12.36,,8.91,12.97,5.79,9.92,6.89,12.51,14.85,,
NACIMIENTO,ratio docente basica,7.7,5.39,25.02,,7.7,13.84,3.41,9.54,4.07,7.92,19.35,23.73,
NANCAGUA,ratio docente basica,11.98,9.24,18.36,,11.98,17.05,8.59,11.98,8.69,13.02,18.64,,
NATALES,ratio docente basica,13.03,10.3,19.41,,13.03,15.98,6.17,14.98,8,13.4,20,17.21,
NAVIDAD,ratio docente basica,10.94,10.94,,,10.94,12.48,10.17,11.97,20,7.88,13.03,,
NEGRETE,ratio docente basica,9.51,11.59,1.17,,9.51,14.27,6.33,11.59,9.59,14.27,8.25,,
NINHUE,ratio docente basica,6.12,5.66,9.3,,6.12,13.32,5.09,6.61,3.92,10.21,,,
ÑIQUÉN,ratio docente basica,7.47,7.04,11.33,,7.47,10.88,6.62,7.04,5.82,8.58,,,
NOGALES,ratio docente basica,15.9,12.3,20.7,,15.9,17.34,7.29,15.9,,12.6,24.16,,
NUEVA IMPERIAL,ratio docente basica,11.56,10.39,12.11,,11.56,18.31,8.77,11.86,9.9,13.76,19.31,,
ÑUÑOA,ratio docente basica,19.83,20.93,29.56,14.54,19.83,19.83,,20.52,,,51.76,17.61,15.02
O'HIGGINS,ratio docente basica,4.82,4.82,,,4.82,,4.82,4.82,,,4.82,,
OLIVAR,ratio docente basica,21.68,16.86,28.91,,21.68,26.1,15.05,21.68,,19.4,30.82,,
OLLAGÜE,ratio docente basica,8.8,8.8,,,8.8,,8.8,8.8,,,,,8.8
OLMUÉ,ratio docente basica,10.13,8.75,21.2,,10.13,13.28,7.62,10.13,7.35,11.53,,,
OSORNO,ratio docente basica,13.01,10.05,14.69,18.87,13.01,14.79,6.82,13.09,9.07,11.56,13.98,18.71,18.87
OVALLE,ratio docente basica,13.79,9.86,29.16,41.11,13.79,22.37,6.96,14.39,9.21,12.62,21.76,29.53,38.33
PADRE HURTADO,ratio docente basica,25.04,17.71,26.01,30.3,25.04,25.97,16.18,25.04,,17.73,25.88,28.85,25.95
PADRE LAS CASAS,ratio docente basica,10.03,6.73,10.84,,10.03,14.45,9.05,9.9,8.79,10.41,12.15,11.5,
PAIGUANO,ratio docente basica,4.64,4.64,,,4.64,8.73,3.47,6.85,2.5,7.81,8.33,,
PAILLACO,ratio docente basica,9.77,9.21,10.52,,9.77,12.52,8.08,10.72,10.18,11.24,10.24,,
PAINE,ratio docente basica,20.54,16.06,26.39,17.44,20.54,23.73,14.8,20.54,13.5,15.46,19.99,41.7,17.44
